Marital status,Application mode,Application order,Course,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Daytime/evening attendance
single,1,1,Nursing,Secondary education,118,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Armed Forces Professions,113.1,yes,no,no,yes,female,no,19,yes,0,7,7,7,13.79857143,0,0,8,8,8,14.75625,0,11.1,0.6,2.02,Graduate,daytime
single,1,5,Journalism and Communication,Secondary education,127,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",121.1,yes,no,no,yes,female,no,18,yes,0,6,6,6,13.16666667,0,0,6,6,6,12.5,0,15.5,2.8,-4.06,Enrolled,daytime
single,1,1,Management,Secondary education,177,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,162.3,no,no,no,yes,female,yes,18,yes,0,5,6,5,16.33333333,0,0,5,5,5,15.4,0,15.5,2.8,-4.06,Graduate,daytime
single,42,1,Animation and Multimedia Design,Secondary education,132,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.," Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Administrative staff,132,yes,no,no,yes,female,no,19,yes,0,0,0,0,0,0,0,0,0,0,0,0,12.7,3.7,-1.7,Dropout,daytime
single,17,4,Nursing,Secondary education,133,Portuguese,Higher Education - Master's,Higher Education - Master's,Administrative staff,Administrative staff,130.7,yes,no,no,yes,female,no,19,yes,0,7,7,7,14.75714286,0,0,8,9,8,15.36666667,0,12.4,0.5,1.79,Graduate,daytime
single,17,4,Tourism,Secondary education,124,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,122.3,yes,no,no,yes,female,no,19,yes,0,6,7,6,11.66666667,0,0,6,6,6,12.33333333,0,13.9,-0.3,0.79,Dropout,daytime
single,1,1,Advertising and Marketing Management,Secondary education,143,Portuguese,Higher Education - Degree,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Specialists in Intellectual and Scientific Activities ,Unskilled Workers,144.1,yes,no,no,yes,female,no,19,yes,0,6,7,5,12.6,0,0,6,10,5,12.375,0,10.8,1.4,1.74,Enrolled,daytime
single,1,1,Journalism and Communication,Secondary education,128,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",118.2,no,no,no,yes,female,no,19,yes,0,6,6,6,11.66666667,0,0,6,6,6,11.5,0,12.7,3.7,-1.7,Graduate,daytime
single,1,1,Social Service,Secondary education,138,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,133.5,no,no,no,yes,female,yes,19,yes,0,6,6,6,15,0,0,6,6,6,13.33333333,0,8.9,1.4,3.51,Graduate,daytime
single,1,5,Nursing,Secondary education,144,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,126.8,yes,no,yes,no,female,no,18,yes,0,7,0,0,0,0,0,8,0,0,0,0,9.4,-0.8,-3.12,Dropout,daytime
single,1,4,Journalism and Communication,Secondary education,122,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",121,yes,no,no,yes,female,no,20,yes,0,6,7,6,13.57142857,0,0,6,6,6,13.33333333,0,13.9,-0.3,0.79,Graduate,daytime
single,17,1,Tourism,Secondary education,111,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Armed Forces Professions,117.7,no,no,no,yes,female,no,20,yes,0,6,8,5,10.8,0,0,6,9,4,11.5,0,9.4,-0.8,-3.12,Graduate,daytime
single,1,1,Veterinary Nursing,Secondary education,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.," Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers"," Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",115,yes,no,no,yes,female,no,21,yes,0,5,8,3,11.33333333,1,0,5,8,3,13.33333333,0,12.7,3.7,-1.7,Enrolled,daytime
married,1,1,Management (evening attendance),Higher education - bachelor's degree,120,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Intermediate Level Technicians and Professions,129.2,no,no,no,yes,female,no,31,yes,4,10,16,5,11.4,0,4,10,10,6,12.83333333,0,9.4,-0.8,-3.12,Dropout,evening
single,1,1,Oral Hygiene,Secondary education,135,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,125.8,no,no,no,yes,female,yes,20,yes,0,7,14,7,10.64285714,0,0,8,8,8,11.55,0,12.7,3.7,-1.7,Graduate,daytime
single,17,5,Advertising and Marketing Management,Secondary education,125,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,8th year of schooling,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",118.4,yes,no,no,yes,female,yes,19,yes,0,5,8,3,10.5,0,0,5,6,4,11.75,1,7.6,2.6,0.32,Enrolled,daytime
single,1,1,Nursing,Secondary education,147,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,142,yes,no,no,yes,female,no,18,yes,0,7,7,6,14.65,0,0,7,7,6,14.65,0,7.6,2.6,0.32,Graduate,daytime
single,17,3,Nursing,Secondary education,137,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",126.7,yes,no,no,yes,female,yes,19,yes,0,7,7,7,13.71428571,0,0,8,11,8,14.86363636,0,16.2,0.3,-0.92,Graduate,daytime
single,43,1,Social Service,Secondary education,117,Portuguese,Unknown,Unknown,Student,Student,109.3,no,no,no,yes,female,no,30,yes,9,16,19,15,12.26666667,0,11,13,14,13,12.07142857,0,9.4,-0.8,-3.12,Graduate,daytime
single,17,1,Social Service,Secondary education,126,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,116.9,yes,no,no,yes,female,no,21,yes,0,6,11,6,10.375,0,0,6,12,3,11.66666667,0,12.7,3.7,-1.7,Enrolled,daytime
single,18,1,Management,Secondary education,128,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",121.7,yes,no,no,yes,female,no,19,yes,0,5,8,5,11,0,0,5,6,5,15.4,0,12.4,0.5,1.79,Graduate,daytime
single,1,6,Management,Secondary education,115,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,117.1,yes,no,yes,yes,female,no,22,yes,0,5,5,5,13.8,0,0,5,5,5,13,0,7.6,2.6,0.32,Graduate,daytime
single,1,1,Journalism and Communication,Secondary education,121,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Unskilled Workers,114.4,no,no,no,yes,female,yes,18,yes,0,6,6,6,12.66666667,0,0,6,6,6,12.83333333,0,11.1,0.6,2.02,Graduate,daytime
single,17,1,Social Service,Secondary education,134,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Administrative staff,133,yes,no,no,yes,female,no,18,yes,0,6,8,6,11.75,0,0,6,10,5,12,0,12.7,3.7,-1.7,Graduate,daytime
single,1,3,Nursing,Secondary education,126,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,118.8,yes,no,no,yes,female,yes,19,yes,0,8,8,7,12.78571429,0,0,8,8,7,12.78571429,0,12.7,3.7,-1.7,Graduate,daytime
single,1,1,Equinculture,Secondary education,151,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities ,Administrative staff,151,yes,no,no,yes,female,no,18,yes,0,6,11,6,14.44444444,0,0,6,6,6,13.33333333,0,16.2,0.3,-0.92,Graduate,daytime
single,1,6,Nursing,Secondary education,122,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,119.6,yes,no,no,yes,female,no,21,yes,0,7,8,6,13.25,0,0,8,8,8,13.8375,0,13.9,-0.3,0.79,Enrolled,daytime
single,17,1,Nursing,Secondary education,141,Portuguese,Higher Education - Bachelor's Degree,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Specialists in Intellectual and Scientific Activities ,Armed Forces Professions,135.4,yes,no,no,yes,female,no,18,yes,0,7,9,7,12.50625,0,0,8,15,5,13.2,0,13.9,-0.3,0.79,Enrolled,daytime
single,1,1,Animation and Multimedia Design,Secondary education,138,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher education - degree (1st cycle),Administrative staff,Intermediate Level Technicians and Professions,149.9,yes,no,no,yes,female,no,20,yes,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0.6,2.02,Graduate,daytime
single,1,1,Veterinary Nursing,Secondary education,133,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",120.1,yes,no,no,yes,female,no,18,yes,0,5,8,4,12.75,1,0,5,10,4,11.75,0,12.7,3.7,-1.7,Graduate,daytime
single,39,1,Veterinary Nursing,Higher education - degree,150,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Degree,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",173.3,yes,no,no,yes,female,no,25,yes,1,6,7,6,16.85714286,0,1,6,6,6,16.5,0,13.9,-0.3,0.79,Graduate,daytime
single,1,1,Journalism and Communication,Secondary education,136,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Intermediate Level Technicians and Professions,126.2,no,no,no,yes,female,no,19,yes,0,6,6,6,13.16666667,0,0,6,6,6,15,0,16.2,0.3,-0.92,Graduate,daytime
single,1,1,Basic Education,Secondary education,129,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Specialists in Intellectual and Scientific Activities ,"Skilled Workers in Industry, Construction and Craftsmen",126.9,yes,no,no,yes,female,yes,19,yes,0,6,9,5,12.2,0,0,6,10,4,11.5,0,7.6,2.6,0.32,Enrolled,daytime
single,39,1,Veterinary Nursing,Secondary education,128,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Armed Forces Professions,157.4,yes,no,no,yes,female,no,26,yes,0,6,7,6,16.5,0,0,6,8,6,14.28571429,0,8.9,1.4,3.51,Graduate,daytime
single,17,2,Management,Secondary education,131,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",120.2,yes,no,no,yes,female,no,21,yes,0,5,10,4,11.75,0,0,5,6,5,11.6,0,12.4,0.5,1.79,Graduate,daytime
single,1,1,Management,Secondary education,130,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Specialists in Intellectual and Scientific Activities ,Unskilled Workers,124.8,no,no,no,yes,female,no,19,yes,0,5,14,1,11,0,0,5,6,0,0,0,13.9,-0.3,0.79,Dropout,daytime
single,17,1,Nursing,Secondary education,150,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,130.3,no,no,no,yes,female,yes,19,yes,0,8,8,7,15.11428571,0,0,8,8,7,15.11428571,0,12.7,3.7,-1.7,Graduate,daytime
single,1,1,Social Service,Secondary education,165,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,152.4,yes,no,no,yes,female,yes,18,yes,0,6,8,6,15.5,0,0,6,7,6,14.28571429,0,16.2,0.3,-0.92,Graduate,daytime
married,43,1,Management (evening attendance),Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",113.5,no,no,no,yes,female,yes,32,yes,3,10,12,7,11.14285714,0,4,10,10,8,12,0,10.8,1.4,1.74,Graduate,evening
single,1,1,Social Service,Secondary education,126,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",125.7,no,no,no,yes,female,yes,18,yes,0,6,6,6,11.33333333,0,0,6,8,6,11.33333333,0,15.5,2.8,-4.06,Graduate,daytime
single,1,5,Nursing,Secondary education,101,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Administrative staff,102.4,no,no,no,yes,female,no,20,yes,0,7,9,5,12.04,0,0,7,9,6,11.77142857,0,12.4,0.5,1.79,Enrolled,daytime
single,17,3,Management,Secondary education,125,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",125.7,no,no,no,yes,female,no,20,yes,0,5,7,5,11.16666667,0,0,5,9,4,10.75,0,15.5,2.8,-4.06,Enrolled,daytime
divorced,39,1,Advertising and Marketing Management,Secondary education,100,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Armed Forces Professions,120,no,no,yes,yes,female,yes,39,yes,0,5,6,5,10.6,0,0,5,7,4,10.75,0,9.4,-0.8,-3.12,Graduate,daytime
single,1,1,Equinculture,Secondary education,117,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,109.3,yes,no,no,yes,female,no,20,yes,0,5,10,4,12.5,0,0,5,12,2,13,0,12.7,3.7,-1.7,Enrolled,daytime
single,1,1,Animation and Multimedia Design,Secondary education,159,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,162.2,yes,no,yes,no,female,no,18,yes,0,0,0,0,0,0,0,0,0,0,0,0,12.4,0.5,1.79,Dropout,daytime
single,17,1,Journalism and Communication,Secondary education,177,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Eq.,teachers,Information and communication technology technicians,155.7,no,no,yes,yes,female,yes,18,yes,0,6,6,6,15.66666667,0,0,6,6,6,13.83333333,0,8.9,1.4,3.51,Graduate,daytime
single,1,1,Animation and Multimedia Design,Secondary education,156,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities ,Specialists in Intellectual and Scientific Activities ,147.7,yes,no,no,yes,female,no,21,yes,6,12,12,12,15.33333333,0,4,11,15,11,15,0,8.9,1.4,3.51,Graduate,daytime
single,1,5,Nursing,Secondary education,125,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Installation and Machine Operators and Assembly Workers,115.6,yes,no,no,yes,female,no,18,yes,0,7,9,6,12.18333333,0,0,7,9,6,11.78333333,0,16.2,0.3,-0.92,Enrolled,daytime
single,1,2,Management,Secondary education,130,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,117.8,no,no,no,yes,female,no,18,yes,0,5,8,2,10,0,0,5,9,3,11.33333333,0,7.6,2.6,0.32,Enrolled,daytime
single,43,1,Agronomy,Secondary education,125,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",125,yes,no,no,yes,female,no,21,yes,9,14,23,9,12,2,6,12,21,8,11.25,0,15.5,2.8,-4.06,Graduate,daytime
single,1,1,Management,Secondary education,127,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",129.8,yes,no,no,yes,female,no,22,yes,0,5,8,3,10.33333333,0,0,5,11,2,10,0,7.6,2.6,0.32,Dropout,daytime
single,17,1,Tourism,Secondary education,121,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,123.1,yes,no,no,yes,male,no,21,yes,0,6,11,6,11.16666667,0,0,6,14,3,14.66666667,0,7.6,2.6,0.32,Enrolled,daytime
single,43,1,Communication Design,Secondary education,135,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,122.8,yes,no,no,yes,male,yes,20,yes,0,6,8,3,11,0,0,6,8,2,11.33333333,0,10.8,1.4,1.74,Enrolled,daytime
single,1,2,Animation and Multimedia Design,Secondary education,125,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,117.3,yes,no,no,yes,male,yes,21,yes,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Graduate,daytime
single,1,1,Tourism,Secondary education,138,Brazilian,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,126.5,yes,no,no,yes,female,yes,20,no,0,6,7,6,12.85714286,0,0,6,8,5,11.8,0,8.9,1.4,3.51,Graduate,daytime
single,1,4,Nursing,Secondary education,136,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,123,yes,no,no,yes,female,no,19,yes,0,8,8,7,14.32857143,0,0,8,8,7,14.32857143,0,10.8,1.4,1.74,Graduate,daytime
single,1,1,Social Service,Secondary education,142,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",127.7,no,no,no,yes,female,yes,20,yes,0,6,7,6,15,0,0,6,6,6,16.33333333,0,13.9,-0.3,0.79,Graduate,daytime
single,1,1,Veterinary Nursing,Secondary education,129,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,117.5,yes,no,no,yes,female,no,19,yes,0,5,9,5,13.6,1,0,5,5,5,12.4,0,12.7,3.7,-1.7,Graduate,daytime
single,1,1,Veterinary Nursing,Secondary education,134,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities ,"Skilled Workers in Industry, Construction and Craftsmen",128.4,yes,no,no,yes,female,yes,18,yes,0,5,12,5,12.85714286,2,0,5,8,4,13.25,0,9.4,-0.8,-3.12,Graduate,daytime
single,17,2,Basic Education,Secondary education,123,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities ,Intermediate Level Technicians and Professions,124.1,yes,no,no,yes,female,no,18,yes,0,6,7,2,14.5,0,0,6,6,1,10,0,15.5,2.8,-4.06,Dropout,daytime
single,39,1,Management (evening attendance),Secondary education,150,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,140.9,no,yes,no,yes,female,no,24,yes,0,5,7,3,10.66666667,0,0,5,7,3,10.5,0,10.8,1.4,1.74,Dropout,evening
single,1,1,Tourism,Secondary education,129,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Specialists in Intellectual and Scientific Activities ,126.2,no,no,yes,no,female,yes,21,yes,0,6,7,6,13.42857143,0,0,6,8,6,11.33333333,0,8.9,1.4,3.51,Dropout,daytime
single,1,3,Nursing,Secondary education,134,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Installation and Machine Operators and Assembly Workers,"Skilled Workers in Industry, Construction and Craftsmen",120.5,yes,no,no,yes,male,yes,18,yes,0,7,12,7,11.71666667,0,0,8,13,4,10.868,0,15.5,2.8,-4.06,Graduate,daytime
single,17,1,Management,Secondary education,127,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,121.1,yes,no,no,yes,male,yes,20,yes,0,5,11,4,12,0,0,5,5,5,12.8,0,11.1,0.6,2.02,Graduate,daytime
single,18,2,Basic Education,Secondary education,123,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Unskilled Workers,Specialists in Intellectual and Scientific Activities ,123.7,yes,no,yes,no,female,no,20,yes,0,6,11,5,13.2,0,0,6,8,4,10.75,0,10.8,1.4,1.74,Dropout,daytime
single,17,3,Tourism,Secondary education,127,Portuguese,Other - 11th Year of Schooling,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",116.9,yes,no,yes,yes,female,no,18,yes,0,6,7,5,12.2,0,0,6,10,4,12.25,0,12.4,0.5,1.79,Dropout,daytime
single,39,1,Oral Hygiene,Secondary education,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",100,yes,no,no,yes,female,yes,25,yes,0,7,11,5,12.58,0,0,7,9,6,12.15714286,0,8.9,1.4,3.51,Graduate,daytime
single,17,5,Social Service,Secondary education,131,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",120.2,yes,no,no,yes,female,yes,19,yes,0,6,9,5,11.33333333,0,0,6,6,6,10.83333333,0,13.9,-0.3,0.79,Enrolled,daytime
married,39,1,Biofuel Production Technologies,Secondary education,120,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",153.8,no,no,yes,yes,male,no,35,yes,0,7,9,0,0,0,0,7,8,0,0,0,11.1,0.6,2.02,Dropout,daytime
single,1,4,Nursing,Secondary education,133,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",120.1,yes,no,no,yes,female,yes,19,yes,0,7,9,6,12.42857143,0,0,8,8,8,14,0,13.9,-0.3,0.79,Graduate,daytime
single,1,1,Advertising and Marketing Management,Secondary education,133,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,128.1,yes,no,no,yes,male,yes,18,yes,0,6,6,6,13,0,0,6,6,6,13,0,13.9,-0.3,0.79,Dropout,daytime
single,1,1,Nursing,Secondary education,143,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Armed Forces Professions,126.8,no,no,no,yes,male,no,19,yes,0,8,8,7,14.53571429,0,0,8,8,7,14.53571429,0,10.8,1.4,1.74,Graduate,daytime
single,43,1,Nursing,Secondary education,140,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",125.7,yes,no,no,yes,male,yes,19,yes,0,7,8,5,11.2,0,0,7,8,5,11.2,0,7.6,2.6,0.32,Enrolled,daytime
single,17,1,Communication Design,Secondary education,157,Portuguese,Higher Education - Degree,Higher Education - Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,146.2,no,no,no,yes,male,no,18,yes,0,6,6,6,16,0,0,6,6,6,13.66666667,0,12.4,0.5,1.79,Graduate,daytime
single,39,1,Equinculture,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education - Degree,Unskilled Workers,Specialists in Intellectual and Scientific Activities ,140,yes,no,yes,yes,male,no,24,yes,0,6,13,5,13.14285714,0,0,6,15,3,12.66666667,0,16.2,0.3,-0.92,Dropout,daytime
single,43,1,Social Service (evening attendance),Secondary education,145,Spanish,Unknown,Unknown,Student,Student,134.5,yes,no,no,yes,male,no,25,no,8,14,23,11,11.6875,0,6,10,20,8,11.14285714,0,9.4,-0.8,-3.12,Graduate,evening
